title,description,city,address,postal_code,start_date,content
Forum Emploi & Formation,"Le Centre Paris Anim’ Interclub 17 et l’Annexe Loucheur ont le plaisir de vous inviter à leur Forum Emploi & Formation, qui se tiendra le jeudi 16 avril de 14h à 17h.

Cet événement a pour objectif de faciliter l’accès à l’emploi, à la formation et à l’orientation professionnelle pour les jeunes. Il réunira en un même lieu des acteurs de l’emploi, de la formation et de l’accompagnement afin de vous proposer des opportunités concrètes et un soutien adapté à votre parcours.

Plusieurs pôles seront présents tout au long de l’après-midi :

Recrutement : offres d’emploi en CDD, CDI, jobs d’été et jobs étudiants dans différents secteurs  
Accompagnement à l’emploi : conseils personnalisés (CV, entretiens, recherche d’emploi)  
Formation & insertion : découverte de parcours et dispositifs pour accéder à l’emploi  
Aides & dispositifs : informations sur les aides financières liées à l’activité professionnelle

Ce forum est une opportunité concrète de rencontrer des recruteurs et des professionnel·le·s, de développer votre réseau et de repartir avec des pistes sérieuses pour votre avenir professionnel.

Nous vous attendons nombreuses et nombreux pour un moment d’échange utile et dynamique au Centre Paris Anim’ Interclub 17.

Pensez à apporter plusieurs CV !",Paris,47 rue de Saussure 75017 Paris,75017,2026-04-16 12:00:00+00:00,"Evenement : Forum Emploi & Formation. Lieu : 47 rue de Saussure 75017 Paris, Paris. Date : 16/04/2026. Description : Le Centre Paris Anim’ Interclub 17 et l’Annexe Loucheur ont le plaisir de vous inviter à leur Forum Emploi & Formation, qui se tiendra le jeudi 16 avril de 14h à 17h.

Cet événement a pour objectif de faciliter l’accès à l’emploi, à la formation et à l’orientation professionnelle pour les jeunes. Il réunira en un même lieu des acteurs de l’emploi, de la formation et de l’accompagnement afin de vous proposer des opportunités concrètes et un soutien adapté à votre parcours.

Plusieurs pôles seront présents tout au long de l’après-midi :

Recrutement : offres d’emploi en CDD, CDI, jobs d’été et jobs étudiants dans différents secteurs  
Accompagnement à l’emploi : conseils personnalisés (CV, entretiens, recherche d’emploi)  
Formation & insertion : découverte de parcours et dispositifs pour accéder à l’emploi  
Aides & dispositifs : informations sur les aides financières liées à l’activité professionnelle

Ce forum est une opportunité concrète de rencontrer des recruteurs et des professionnel·le·s, de développer votre réseau et de repartir avec des pistes sérieuses pour votre avenir professionnel.

Nous vous attendons nombreuses et nombreux pour un moment d’échange utile et dynamique au Centre Paris Anim’ Interclub 17.

Pensez à apporter plusieurs CV !"
"Forum métiers et formations : commerce, communication, marketing","Venez explorer les secteurs du commerce, communication et marketing !  
Vous vous demandez quel métier choisir ? Vous êtes attiré par le commerce, la communication ou le marketing, mais vous ne savez pas encore vers quelle formation vous diriger ? Cet événement du CIDJ est fait pour vous !  
Au programme :

*   rencontres avec des professionnels : échangez avec des experts du secteur, découvrez leur parcours et posez toutes vos questions sur leur quotidien ;
*   présentation des formations : lycées, écoles, universités, alternance, etc. On vous guide pour trouver la formation qui correspond à vos envies et à votre projet ;
*   conseils personnalisés : les conseillers du CIDJ vous aident à affiner votre projet professionnel et à identifier les compétences clés à développer ;

Que vous soyez au lycée, en études supérieures ou en reconversion, cet événement est l’occasion idéale pour explorer ces secteurs dynamiques et construire votre avenir professionnel.",Paris,4 place du Louvre Paris,75001,2026-03-18 09:00:00+00:00,"Evenement : Forum métiers et formations : commerce, communication, marketing. Lieu : 4 place du Louvre Paris, Paris. Date : 18/03/2026. Description : Venez explorer les secteurs du commerce, communication et marketing !  
Vous vous demandez quel métier choisir ? Vous êtes attiré par le commerce, la communication ou le marketing, mais vous ne savez pas encore vers quelle formation vous diriger ? Cet événement du CIDJ est fait pour vous !  
Au programme :

*   rencontres avec des professionnels : échangez avec des experts du secteur, découvrez leur parcours et posez toutes vos questions sur leur quotidien ;
*   présentation des formations : lycées, écoles, universités, alternance, etc. On vous guide pour trouver la formation qui correspond à vos envies et à votre projet ;
*   conseils personnalisés : les conseillers du CIDJ vous aident à affiner votre projet professionnel et à identifier les compétences clés à développer ;

Que vous soyez au lycée, en études supérieures ou en reconversion, cet événement est l’occasion idéale pour explorer ces secteurs dynamiques et construire votre avenir professionnel."
Objectif formation,"Le réseau Info Jeunes Paris sera présent pour vous accueillir lors du Forum Formation, Orientation et Accès aux droits organisé le jeudi 4 juin prochain à la Mairie du 13e.  
De nombreux centres de formation et partenaires seront mobilisés pour vous informer, vous orienter et répondre à vos questions.  
Nous vous y attendons nombreuses et nombreux !",Paris,1 place d'Italie 75013 Paris,75013,2026-06-04 11:30:00+00:00,"Evenement : Objectif formation. Lieu : 1 place d'Italie 75013 Paris, Paris. Date : 04/06/2026. Description : Le réseau Info Jeunes Paris sera présent pour vous accueillir lors du Forum Formation, Orientation et Accès aux droits organisé le jeudi 4 juin prochain à la Mairie du 13e.  
De nombreux centres de formation et partenaires seront mobilisés pour vous informer, vous orienter et répondre à vos questions.  
Nous vous y attendons nombreuses et nombreux !"
Forum de l'Alternance,"Viens à la rencontre des recruteurs !  
On te donne rendez-vous à une journée spéciale alternance, le 6 mai 2026.  
Viens rencontrer les employeurs et passer des entretiens sur place, découvrir les parcours de formation et les métiers ! N’oublie pas de ramener ton CV en plusieurs exemplaires... et ta bonne humeur !",Paris,4 place du Louvre Paris,75001,2026-05-06 08:00:00+00:00,"Evenement : Forum de l'Alternance. Lieu : 4 place du Louvre Paris, Paris. Date : 06/05/2026. Description : Viens à la rencontre des recruteurs !  
On te donne rendez-vous à une journée spéciale alternance, le 6 mai 2026.  
Viens rencontrer les employeurs et passer des entretiens sur place, découvrir les parcours de formation et les métiers ! N’oublie pas de ramener ton CV en plusieurs exemplaires... et ta bonne humeur !"
Atelier et marche exploratoire,"Après la Balade féministe et poétique d’avril 2025, nous poursuivons l’aventure collective avec une nouvelle marche exploratoire autour des femmes dans l’espace public, du lien au quartier et à la ville.  
Cette nouvelle édition a pour objectif de recueillir de nouveaux témoignages, portraits et récits de vie afin d’enrichir l’exposition participative qui sera présentée en mars 2026, à l’occasion du Mois de l’égalité.  
Avant la marche : un atelier de préparation (2h)  
Un temps de rencontre permettra de se familiariser avec les enjeux de la démarche : quelles questions explorer, quels lieux parcourir, comment collecter la parole des habitant·es et quelles thématiques approfondir. Ensemble, les participant·es définiront le trajet et la méthodologie de la marche.  
La marche exploratoire (2 à 3h – octobre 2025)  
Cette balade féministe et poétique propose d’arpenter le quartier en portant attention aux traces, aux symboles et aux vécus féminins dans l’espace urbain.  
Elle invitera à réfléchir à plusieurs questions :  
Comment les femmes sont-elles représentées dans la ville ?  
Comment vivent-elles et traversent-elles ces espaces ?  
Quels lieux inspirent sécurité, liberté ou au contraire, exclusion ?  
À travers les échanges, les observations et la collecte de paroles, cette marche vise à rendre visibles les expériences plurielles des femmes dans la ville et à nourrir une réflexion sur un urbanisme plus égalitaire, inclusif et poétique.  
Perspectives  
Les témoignages, photos et extraits recueillis viendront nourrir l’exposition collective présentée en mars 2026, dans le cadre du Mois de l’égalité, valorisant les voix, les regards et les récits des femmes du territoire.",Paris,1 rue gouthière,75013,2025-10-21 12:00:00+00:00,"Evenement : Atelier et marche exploratoire. Lieu : 1 rue gouthière, Paris. Date : 21/10/2025. Description : Après la Balade féministe et poétique d’avril 2025, nous poursuivons l’aventure collective avec une nouvelle marche exploratoire autour des femmes dans l’espace public, du lien au quartier et à la ville.  
Cette nouvelle édition a pour objectif de recueillir de nouveaux témoignages, portraits et récits de vie afin d’enrichir l’exposition participative qui sera présentée en mars 2026, à l’occasion du Mois de l’égalité.  
Avant la marche : un atelier de préparation (2h)  
Un temps de rencontre permettra de se familiariser avec les enjeux de la démarche : quelles questions explorer, quels lieux parcourir, comment collecter la parole des habitant·es et quelles thématiques approfondir. Ensemble, les participant·es définiront le trajet et la méthodologie de la marche.  
La marche exploratoire (2 à 3h – octobre 2025)  
Cette balade féministe et poétique propose d’arpenter le quartier en portant attention aux traces, aux symboles et aux vécus féminins dans l’espace urbain.  
Elle invitera à réfléchir à plusieurs questions :  
Comment les femmes sont-elles représentées dans la ville ?  
Comment vivent-elles et traversent-elles ces espaces ?  
Quels lieux inspirent sécurité, liberté ou au contraire, exclusion ?  
À travers les échanges, les observations et la collecte de paroles, cette marche vise à rendre visibles les expériences plurielles des femmes dans la ville et à nourrir une réflexion sur un urbanisme plus égalitaire, inclusif et poétique.  
Perspectives  
Les témoignages, photos et extraits recueillis viendront nourrir l’exposition collective présentée en mars 2026, dans le cadre du Mois de l’égalité, valorisant les voix, les regards et les récits des femmes du territoire."
Forum Bons Plans Étudiants,"Le Centre Paris Anim’ Interclub 17, en partenariat avec l'Annexe Loucheur et l’EPJ le 27, a le plaisir de vous inviter à son Forum Bons Plans Étudiants qui se tiendra le vendredi 10 octobre de 18h à 21h.

Cet événement est pensé pour accompagner les étudiantes et étudiants dans leur quotidien, en leur donnant accès à une multitude d’informations, de contacts et de ressources utiles. Tout au long de la soirée, plusieurs pôles seront présents pour répondre à vos questions et vous orienter :

\- Accès au droit : connaître vos droits et savoir à qui vous adresser.  
\- Logement : trouver des solutions adaptées à vos besoins.  
\- Emploi : découvrir des opportunités professionnelles et obtenir des conseils.  
\- Santé : se repérer dans les dispositifs existants et prendre soin de soi.  
\- Engagement : s’informer sur le bénévolat, le volontariat et l’engagement citoyen.  
\- Loisirs & culture : profiter des bons plans pour se divertir à moindre coût.  
\- Social : bénéficier d’un accompagnement selon vos situations.  
\- Distribution alimentaire : accéder à des aides pour alléger votre budget.

Ce forum est une véritable occasion de rencontrer des acteurs locaux, d’échanger avec des professionnel·les et de repartir avec des conseils pratiques pour mieux vivre votre vie étudiante.

Nous vous attendons nombreuses et nombreux pour partager ce moment convivial et enrichissant au Centre Paris Anim’ Interclub 17 !",Paris,47 rue de Saussure 75017 Paris,75017,2025-10-10 16:00:00+00:00,"Evenement : Forum Bons Plans Étudiants. Lieu : 47 rue de Saussure 75017 Paris, Paris. Date : 10/10/2025. Description : Le Centre Paris Anim’ Interclub 17, en partenariat avec l'Annexe Loucheur et l’EPJ le 27, a le plaisir de vous inviter à son Forum Bons Plans Étudiants qui se tiendra le vendredi 10 octobre de 18h à 21h.

Cet événement est pensé pour accompagner les étudiantes et étudiants dans leur quotidien, en leur donnant accès à une multitude d’informations, de contacts et de ressources utiles. Tout au long de la soirée, plusieurs pôles seront présents pour répondre à vos questions et vous orienter :

\- Accès au droit : connaître vos droits et savoir à qui vous adresser.  
\- Logement : trouver des solutions adaptées à vos besoins.  
\- Emploi : découvrir des opportunités professionnelles et obtenir des conseils.  
\- Santé : se repérer dans les dispositifs existants et prendre soin de soi.  
\- Engagement : s’informer sur le bénévolat, le volontariat et l’engagement citoyen.  
\- Loisirs & culture : profiter des bons plans pour se divertir à moindre coût.  
\- Social : bénéficier d’un accompagnement selon vos situations.  
\- Distribution alimentaire : accéder à des aides pour alléger votre budget.

Ce forum est une véritable occasion de rencontrer des acteurs locaux, d’échanger avec des professionnel·les et de repartir avec des conseils pratiques pour mieux vivre votre vie étudiante.

Nous vous attendons nombreuses et nombreux pour partager ce moment convivial et enrichissant au Centre Paris Anim’ Interclub 17 !"
Ateliers Coaching Emploi : trouver son alternance,Une coach Emploi et l'association Réussir Moi Aussi proposent 4 séances de coaching à l'EPJ Belleville pour maximiser ses chances de trouver son alternance.,Paris,"4 rue Louis Bonnet, Paris 75011",75011,2025-10-08 13:00:00+00:00,"Evenement : Ateliers Coaching Emploi : trouver son alternance. Lieu : 4 rue Louis Bonnet, Paris 75011, Paris. Date : 08/10/2025. Description : Une coach Emploi et l'association Réussir Moi Aussi proposent 4 séances de coaching à l'EPJ Belleville pour maximiser ses chances de trouver son alternance."
Musique en famille,"🎶 En juin, les bébés fredonnent avant de parler, car la vie commence en chanson👶🎶
------------------------------------------------------------------------------------

### Pour les 0-3 ans… et leurs parents !

Venez partager un moment magique avec votre tout-petit !  
Au programme : instruments, comptines, découvertes sonores et beaucoup de tendresse.  
Un atelier tout en douceur, dans un cadre bienveillant et joyeux.

✨**Musique en famille chez @le8petion - Paris 11**  
Réservation : [https://izibaby.fr/atelier/paris-11e-eveil-musical-katia](https://izibaby.fr/atelier/paris-11e-eveil-musical-katia)  
Samedi 14 juin à 9h ou 10h ou 11h15  
Samedi 28 juin à 9h30 ou 10h30 ou 11h30

✨**Moments Musicaux chez @unairdefamille - Paris 10**  
Réservation : [https://izibaby.fr/atelier/paris-10e-eveil-musical-katia](https://izibaby.fr/atelier/paris-10e-eveil-musical-katia)  
Vendredi 27 juin à 10h  
Dimanche 22 juin à 16h ou 17h15

✨Interventions dans plusieurs crèches (Paris 11-15-18)  
✨Apprentissage des comptines au ukulélé (me contacter)  
✨ Formation « mettre en place des ateliers d’éveil » pour les pro de la petite enfance ou toutes personnes travaillant avec les enfants (me contacter)

À très vite de vous retrouver et/ou faire connaissance  
Prenez soin de vous  
Katia 🎶",Paris,8 rue Petion,75011,2025-06-28 09:30:00+00:00,"Evenement : Musique en famille. Lieu : 8 rue Petion, Paris. Date : 28/06/2025. Description : 🎶 En juin, les bébés fredonnent avant de parler, car la vie commence en chanson👶🎶
------------------------------------------------------------------------------------

### Pour les 0-3 ans… et leurs parents !

Venez partager un moment magique avec votre tout-petit !  
Au programme : instruments, comptines, découvertes sonores et beaucoup de tendresse.  
Un atelier tout en douceur, dans un cadre bienveillant et joyeux.

✨**Musique en famille chez @le8petion - Paris 11**  
Réservation : [https://izibaby.fr/atelier/paris-11e-eveil-musical-katia](https://izibaby.fr/atelier/paris-11e-eveil-musical-katia)  
Samedi 14 juin à 9h ou 10h ou 11h15  
Samedi 28 juin à 9h30 ou 10h30 ou 11h30

✨**Moments Musicaux chez @unairdefamille - Paris 10**  
Réservation : [https://izibaby.fr/atelier/paris-10e-eveil-musical-katia](https://izibaby.fr/atelier/paris-10e-eveil-musical-katia)  
Vendredi 27 juin à 10h  
Dimanche 22 juin à 16h ou 17h15

✨Interventions dans plusieurs crèches (Paris 11-15-18)  
✨Apprentissage des comptines au ukulélé (me contacter)  
✨ Formation « mettre en place des ateliers d’éveil » pour les pro de la petite enfance ou toutes personnes travaillant avec les enfants (me contacter)

À très vite de vous retrouver et/ou faire connaissance  
Prenez soin de vous  
Katia 🎶"
Appel à programmation - Scènes du monde au Canal,"**APPEL À PROGRAMMATION OUVERT JUSQU’AU MARDI 30 JUIN À MINUIT (INCLUS)**  
**◈ SAISON 2026-2027 ◈**  
\[ Réservé aux [**artistes adhérent·es**](https://collectifmdm-idf.org/adhesion/) du Collectif MDM \]  
[**Inscription**](https://forms.gle/524VAyHBZuJSRYB28)  
Vous êtes artistes, musicien·nes, chanteurs·euses, danseurs·euses ? 8 dates, 1 date par projet, entre octobre 2026 et mai 2027 vous attendent pour présenter votre projet au cœur de Paris (10e) !  
Consultez les conditions et les critères [**ICI**](https://collectifmdm-idf.org/scene-du-monde-au-canal/5e-editionappel-a-programmation/)  
En partenariat avec l’association [**CRL10**](https://www.crl10.net/), Les Scènes du monde au Canal est un dispositif d’accompagnement à destination des artistes francilien·nes adhérent·es du [**Collectif MDM IdF**](https://collectifmdm-idf.org/).  
Depuis 5 ans, en juin de chaque année, un appel à candidature est envoyé aux artistes pour être programmé·es à la Scène du Canal – Espace Jemmapes (Paris,10e) sur l’une des huit dates définies pour la saison culturelle à venir (d’octobre à mai).  
En septembre, une journée collective de préparation au concert réunie les projets sélectionnés, leur permettant ainsi de réfléchir, ensemble, à leurs objectifs respectifs en lien avec leur date (pourquoi faire partie de cette programmation, comment utiliser l’événement dans la stratégie de développement et d’évolution de carrière, …).  
Le dispositif amène également les artistes à s’engager dans un travail de réflexion autour de la communication et du développement des publics, nécessaire au remplissage de la salle.  
contact : [jeanbaptiste@collectifmdm-idf.fr](mailto:jeanbaptiste@collectifmdm-idf.fr)",Paris,"116 Quai de Jemmapes, 75010 Paris",75010,2026-06-25 22:00:00+00:00,"Evenement : Appel à programmation - Scènes du monde au Canal. Lieu : 116 Quai de Jemmapes, 75010 Paris, Paris. Date : 25/06/2026. Description : **APPEL À PROGRAMMATION OUVERT JUSQU’AU MARDI 30 JUIN À MINUIT (INCLUS)**  
**◈ SAISON 2026-2027 ◈**  
\[ Réservé aux [**artistes adhérent·es**](https://collectifmdm-idf.org/adhesion/) du Collectif MDM \]  
[**Inscription**](https://forms.gle/524VAyHBZuJSRYB28)  
Vous êtes artistes, musicien·nes, chanteurs·euses, danseurs·euses ? 8 dates, 1 date par projet, entre octobre 2026 et mai 2027 vous attendent pour présenter votre projet au cœur de Paris (10e) !  
Consultez les conditions et les critères [**ICI**](https://collectifmdm-idf.org/scene-du-monde-au-canal/5e-editionappel-a-programmation/)  
En partenariat avec l’association [**CRL10**](https://www.crl10.net/), Les Scènes du monde au Canal est un dispositif d’accompagnement à destination des artistes francilien·nes adhérent·es du [**Collectif MDM IdF**](https://collectifmdm-idf.org/).  
Depuis 5 ans, en juin de chaque année, un appel à candidature est envoyé aux artistes pour être programmé·es à la Scène du Canal – Espace Jemmapes (Paris,10e) sur l’une des huit dates définies pour la saison culturelle à venir (d’octobre à mai).  
En septembre, une journée collective de préparation au concert réunie les projets sélectionnés, leur permettant ainsi de réfléchir, ensemble, à leurs objectifs respectifs en lien avec leur date (pourquoi faire partie de cette programmation, comment utiliser l’événement dans la stratégie de développement et d’évolution de carrière, …).  
Le dispositif amène également les artistes à s’engager dans un travail de réflexion autour de la communication et du développement des publics, nécessaire au remplissage de la salle.  
contact : [jeanbaptiste@collectifmdm-idf.fr](mailto:jeanbaptiste@collectifmdm-idf.fr)"
"Exposition ""Grands Lacs - L’horizon commun des mers intérieures"", Robert Burley","Vernissage le 6 juin 2026, dans le cadre de Nuit Blanche

Enjambant la frontière entre le Canada et les Etats-Unis, la faisant disparaitre dans sa colossale masse fluide, le bassin des Grands Lacs réunit sur son pourtour des millions d’habitants, parmi lesquels des Autochtones de nombreuses Premières Nations du Canada et tribus américaines. Ressource extraordinaire d’eau potable de surface (parmi les plus importantes au monde) ; lieu de circulation et d’échange, de commerce, de travail, de loisirs, de voyage, de méditation, mais aussi d’exploitation, de danger, de vulnérabilité ; cet immense bassin a été observé depuis la diversité de ses rives par Robert Burley, l’un des plus importants photographes canadiens de notre époque.

L’artiste réalise ici un corpus aussi inédit qu’exceptionnel, où la beauté grandiose de cet insaisissable ensemble, tantôt apaisante tantôt inquiétante, se transforme en une réflexion sur la puissance de l’image contemporaine. Dépouillées de toute diversion anecdotique, renvoyant les Grands Lacs à leur grandeur première, les photographies de Robert Burley appellent le spectateur telles d’envoûtantes sirènes.

Commissaire : Catherine Bédard

En partenariat avec Biinaagami, Swim Drink Fish et Canadian Geographic

Ce projet est labellisé Bicentenaire de la Photographie par le ministère de la Culture et s’inscrit dans la programmation officielle du Bicentenaire du 1er septembre 2026 au 30 septembre 2027.",Paris,"130, rue du Faubourg Saint-Honoré 75008 Paris",75008,2026-06-26 08:00:00+00:00,"Evenement : Exposition ""Grands Lacs - L’horizon commun des mers intérieures"", Robert Burley. Lieu : 130, rue du Faubourg Saint-Honoré 75008 Paris, Paris. Date : 26/06/2026. Description : Vernissage le 6 juin 2026, dans le cadre de Nuit Blanche

Enjambant la frontière entre le Canada et les Etats-Unis, la faisant disparaitre dans sa colossale masse fluide, le bassin des Grands Lacs réunit sur son pourtour des millions d’habitants, parmi lesquels des Autochtones de nombreuses Premières Nations du Canada et tribus américaines. Ressource extraordinaire d’eau potable de surface (parmi les plus importantes au monde) ; lieu de circulation et d’échange, de commerce, de travail, de loisirs, de voyage, de méditation, mais aussi d’exploitation, de danger, de vulnérabilité ; cet immense bassin a été observé depuis la diversité de ses rives par Robert Burley, l’un des plus importants photographes canadiens de notre époque.

L’artiste réalise ici un corpus aussi inédit qu’exceptionnel, où la beauté grandiose de cet insaisissable ensemble, tantôt apaisante tantôt inquiétante, se transforme en une réflexion sur la puissance de l’image contemporaine. Dépouillées de toute diversion anecdotique, renvoyant les Grands Lacs à leur grandeur première, les photographies de Robert Burley appellent le spectateur telles d’envoûtantes sirènes.

Commissaire : Catherine Bédard

En partenariat avec Biinaagami, Swim Drink Fish et Canadian Geographic

Ce projet est labellisé Bicentenaire de la Photographie par le ministère de la Culture et s’inscrit dans la programmation officielle du Bicentenaire du 1er septembre 2026 au 30 septembre 2027."
